,coin,type,price,qty,timestamp
0,CLV , EGLD Swap Instant Order , 0.003096 3.27871024 , 0.01004937 ,2021-12-04 16:31:17
1,YFI , SGD Buy Instant Order , 31716.84 5 , 0.00015606 ,2021-12-04 15:35:35
2,DOT , SGD Buy Instant Order , 44.437 5 , 0.11139365 ,2021-12-04 11:29:25
3,ZEC , SGD Buy Instant Order , 277.246 5 , 0.01785418 ,2021-12-04 09:12:08
4,ENJ , SGD Buy Instant Order , 4.10122 5 , 1.20695792 ,2021-12-04 09:08:15
5,EGLD , SGD Buy Instant Order , 455.214 5 , 0.010874 ,2021-12-04 00:06:14
6,RUNE , SGD Buy Instant Order , 14.1911 5 , 0.34881016 ,2021-12-03 23:05:17
7,SNX , SGD Sell Instant Order , 10.426 0.49463397 , 5.1 ,2021-12-03 21:12:41
8,EGLD , SGD Buy Instant Order , 479.922 5 , 0.01031417 ,2021-12-03 15:23:47
9,YFI , SGD Buy Instant Order , 38973.65 5 , 0.000127 ,2021-12-02 20:16:41
10,DOT , SGD Buy Instant Order , 48.6245 5 , 0.10180053 ,2021-12-02 14:36:49
11,EGLD , SGD Buy Instant Order , 506.506 5 , 0.00977283 ,2021-12-02 14:33:18
12,CHZ , SGD Buy Instant Order , 0.57961 5 , 8.54022532 ,2021-12-02 14:32:28
13,SNX , SGD Buy Instant Order , 10.0074 5 , 0.49463397 ,2021-12-02 08:47:12
14,ENJ , SGD Buy Instant Order , 4.72678 5 , 1.04722453 ,2021-12-02 08:26:57
15,CLV , SGD Buy Instant Order , 1.50974 5 , 3.27871024 ,2021-12-01 21:54:13
16,1INCH , SGD Sell Instant Order , 5.55308 0.99679615 , 5.47 ,2021-12-01 21:23:59
17,RUNE , ENJ Swap Instant Order , 3.09816 0.29174013 , 0.89481902 ,2021-12-01 01:05:00
18,ICP , EGLD Swap Instant Order , 0.10611 0.07502065 , 0.00788083 ,2021-12-01 00:58:12
19,ENJ , SGD Buy Instant Order , 4.8849 5 , 1.01332678 ,2021-12-01 00:28:28
20,EGLD , SGD Buy Instant Order , 537.737 5 , 0.00920524 ,2021-12-01 00:27:03
21,1INCH , SGD Buy Instant Order , 4.96591 5 , 0.99679615 ,2021-12-01 00:25:48
22,DYDX , SGD Sell Instant Order , 17.5071 0.29167231 , 5.05 ,2021-11-30 22:49:22
23,ICP , RUNE Swap Instant Order , 3.92916 0.075 , 0.29174013 ,2021-11-30 07:43:18
24,AAVE , SGD Sell Instant Order , 339.12 0.01530309 , 5.13 ,2021-11-30 07:02:18
