coin,type,price,qty,timestamp,amount,temp,qtyS,coin_sell,type_sell,price_sell,qty_sell,timestamp_sell,amount_sell,temp_sell,sellPrice,percent_diff,percentSignal,sellSignal
FTM,SGD Buy Instant Order,3.04245,1.62697825,2022-01-27 07:05:35.000000,5,,1.6269782,,,,,,,,2.76794,-0.09022662656740464,,
LUNA,SGD Buy Instant Order,86.229,0.05740528,2022-01-26 20:33:55.000000,5,,0.0574052,,,,,,,,72.2788,-0.16178083939277965,,
MKR,SGD Buy Instant Order,2445.34,0.00202425,2022-01-26 20:31:30.000000,5,,0.0020242000000000003,MKR,simulate sell order,2917.67,0.00202425,2022-02-01 16:29:29.950226,5.315484147749999,,2917.67,0.193155144069945,,
ENJ,SGD Buy Instant Order,2.0211900000000003,2.44905229,2022-01-25 20:52:20.000000,5,,2.4490522,ENJ,simulate sell order,2.49646,2.44905229,2022-02-01 16:28:23.930076,5.50256497190406,,2.49646,0.235143652996502,,
EGLD,SGD Buy Instant Order,188.96099999999998,0.02619588,2022-01-23 18:59:42.000000,5,,0.026195799999999998,,,,,,,,214.811,0.1368007154915566,,
AAVE,SGD Buy Instant Order,203.081,0.02437451,2022-01-23 10:05:57.000000,5,,0.0243745,,,,,,,,226.985,0.11770672785735754,,
SNX,SGD Buy Instant Order,5.25053,0.94276196,2022-01-23 10:05:37.000000,5,,0.9427619,SNX,SGD Sell Instant Order,5.61313,0.94276196,2022-01-26 01:32:47,5.23,5.23,,,,
ETH,SGD Buy Instant Order,3304.82,0.00149781,2022-01-23 10:05:03.000000,5,,0.0014977999999999999,ETH,simulate sell order,4009.77,0.00149781,2022-02-06 23:16:59.651583,5.405286243330001,,4009.77,0.21330965075253713,,
BTC,SGD Buy Instant Order,47742.87,0.00010368,2022-01-23 10:04:47.000000,5,,0.0001036,,,51321.45,0.00010368,2022-02-01 00:47:30.910315,,,51321.45,0.07495527604436,,
OMG,SGD Buy Instant Order,5.84567,0.8467806,2022-01-23 10:04:11.000000,5,,0.84678,OMG,simulate sell order,6.72573,0.8467806,2022-02-01 16:53:33.570172,5.1256959163542,,6.72573,0.15054903886124302,,
LUNA,SGD Buy Instant Order,89.5557,0.05527286,2022-01-23 10:03:40.000000,5,,0.055272800000000004,,,,,,,,72.2788,-0.1929179270554526,,
LRC,SGD Buy Instant Order,1.03235,4.79488545,2022-01-23 10:03:19.000000,5,,4.794885400000001,LRC,SGD Sell Instant Order,1.38749,4.79488545,2022-01-26 17:53:14,6.58,6.58,,,,
YFI,SGD Buy Instant Order,32077.85,0.00015431,2022-01-23 10:02:15.000000,5,,0.0001543,,,,,,,,32295.28,0.006778197416597444,,
FTM,SGD Buy Instant Order,2.82645,1.75131348,2022-01-23 10:01:57.000000,5,,1.7513134,FTM,SGD Sell Instant Order,3.1388599999999998,1.75131349,2022-01-25 19:39:24,5.44,5.44,,,,
AAVE,SGD Buy Instant Order,311.461,0.01589284,2022-01-06 07:06:29.000000,5,,0.0158928,,,,,,,,226.985,-0.27122496877618707,,
DAI,simulate buy order,1.35143,3.329806205278853,2022-02-06 23:41:31.029805,5,,,,,,,,,,1.34005,-0.008420709914682925,,
1INCH,simulate buy order,2.41731,1.8615734018392345,2022-02-07 00:08:09.733217,5,,,,,,,,,,2.39589,-0.008861089392754753,,
ADA,simulate buy order,1.50338,2.993255198286528,2022-02-07 00:08:11.461561,5,,,,,,,,,,1.48954,-0.009205922654285579,,
ATOM,simulate buy order,41.005,0.10974271430313376,2022-02-07 00:08:12.350247,5,,,,,,,,,,40.6509,-0.008635532252164431,,
AVAX,simulate buy order,102.155,0.044050707258577654,2022-02-07 00:08:13.140001,5,,,,,,,,,,101.292,-0.008447946747589443,,
BAT,simulate buy order,1.23489,3.644049267546097,2022-02-07 00:08:15.731563,5,,,,,,,,,,1.22448,-0.00842990063892333,,
BNB,simulate buy order,552.622,0.008142998288160804,2022-02-07 00:08:16.564443,5,,,,,,,,,,550.974,-0.0029821469286418403,,
CLV,simulate buy order,0.48806,9.220177846986028,2022-02-07 00:08:19.833596,5,,,,,,,,,,0.48266,-0.011064213416383264,,
COMP,simulate buy order,183.597,0.02451020441510482,2022-02-07 00:08:20.709710,5,,,,,,,,,,181.937,-0.009041542073127538,,
CRV,simulate buy order,4.54395,0.9903277985013039,2022-02-07 00:08:21.791329,5,,,,,,,,,,4.50485,-0.008604848204755657,,
DOGE,simulate buy order,0.19725,22.813688212927755,2022-02-07 00:08:23.493370,5,,,,,,,,,,0.19548,-0.00897338403041836,,
DOT,simulate buy order,28.404,0.15842839036755385,2022-02-07 00:08:24.286286,5,,,,,,,,,,28.2031,-0.0070729474721870425,,
FTM,simulate buy order,2.79126,1.6121751467079386,2022-02-07 00:08:29.612787,5,,,,,,,,,,2.76794,-0.008354649871384252,,
UNI,simulate buy order,15.115,0.29771749917300694,2022-02-07 00:08:51.290262,5,,,,,,,,,,14.9759,-0.009202778696659007,,
