coin,type,price,qty,timestamp,amount,temp,qtyS,coin_sell,type_sell,price_sell,qty_sell,timestamp_sell,amount_sell,temp_sell,sellPrice,percent_diff,percentSignal,sellSignal
FTM,SGD Buy Instant Order,3.04245,1.62697825,2022-01-27 07:05:35.000000,5,,1.6269782,,,,,,,,2.73912,-0.099699255534191,,
LUNA,SGD Buy Instant Order,86.229,0.05740528,2022-01-26 20:33:55.000000,5,,0.0574052,,,,,,,,68.0742,-0.210541697108861,,
MKR,SGD Buy Instant Order,2445.34,0.00202425,2022-01-26 20:31:30.000000,5,,0.0020242,,,,,,,,2785.15,0.138962271095226,,
ENJ,SGD Buy Instant Order,2.02119,2.44905229,2022-01-25 20:52:20.000000,5,,2.4490522,,,,,,,,2.50346,0.238606959266571,,
EGLD,SGD Buy Instant Order,188.961,0.02619588,2022-01-23 18:59:42.000000,5,,0.0261958,,,,,,,,192.532,0.018898079497886,,
AAVE,SGD Buy Instant Order,203.081,0.02437451,2022-01-23 10:05:57.000000,5,,0.0243745,,,,,,,,208.464,0.02650666482832,,
SNX,SGD Buy Instant Order,5.25053,0.94276196,2022-01-23 10:05:37.000000,5,,0.9427619,SNX,SGD Sell Instant Order,5.61313,0.94276196,2022-01-26 01:32:47,5.23,5.23,,,,
ETH,SGD Buy Instant Order,3304.82,0.00149781,2022-01-23 10:05:03.000000,5,,0.0014978,,,,,,,,3572.58,0.081021054096744,,
BTC,SGD Buy Instant Order,47742.87,0.00010368,2022-01-23 10:04:47.000000,5,,0.0001036,,,51321.45,0.00010368,2022-02-01 00:47:30.910315,,,51321.45,0.07495527604436,,
OMG,SGD Buy Instant Order,5.84567,0.8467806,2022-01-23 10:04:11.000000,5,,0.84678,,,,,,,,6.76433,0.15715221694006,,
LUNA,SGD Buy Instant Order,89.5557,0.05527286,2022-01-23 10:03:40.000000,5,,0.0552728,,,,,,,,68.0742,-0.239867479121932,,
LRC,SGD Buy Instant Order,1.03235,4.79488545,2022-01-23 10:03:19.000000,5,,4.7948854,LRC,SGD Sell Instant Order,1.38749,4.79488545,2022-01-26 17:53:14,6.58,6.58,,,,
YFI,SGD Buy Instant Order,32077.85,0.00015431,2022-01-23 10:02:15.000000,5,,0.0001543,,,,,,,,32841.77,0.023814563631914,,
FTM,SGD Buy Instant Order,2.82645,1.75131348,2022-01-23 10:01:57.000000,5,,1.7513134,FTM,SGD Sell Instant Order,3.13886,1.75131349,2022-01-25 19:39:24,5.44,5.44,,,,
AAVE,SGD Buy Instant Order,311.461,0.01589284,2022-01-06 07:06:29.000000,5,,0.0158928,,,,,,,,208.464,-0.330689877705395,,
