,coin,type,price,qty,timestamp,amount,temp,qty1Cum,qty2Cum,qty3Cum,qty4Cum,qty5Cum
0,ENJ,SGD Buy Instant Order,3.9192199999999997,1.26300641,2021-11-03 19:57:27,5.0,,1.2630059999999999,n,n,n,n
1,ENJ,SGD Buy Instant Order,3.9192199999999997,1.26300641,2021-11-03 19:57:27,5.0,,1.2630059999999999,2.526012,n,n,n
13,ENJ,ENJ Swap Instant Order,,1.0433347,2021-11-07 21:06:10,,,,,,,
2,ENJ,SGD Buy Instant Order,4.34526,1.14722709,2021-11-08 19:40:30,5.0,,1.147227,2.41023,3.673239,n,n
3,ENJ,SGD Buy Instant Order,4.181769999999999,1.19207895,2021-11-09 22:02:36,5.0,,1.192078,2.339306,3.60231245,4.865318,n
4,ENJ,SGD Buy Instant Order,4.8849,1.01332678,2021-12-01 00:28:28,5.0,,1.01332677999999,2.20540573,3.352632,4.615639,5.878645
12,ENJ,ENJ Swap Instant Order,,0.89481902,2021-12-01 01:05:00,,,,,,,
5,ENJ,SGD Buy Instant Order,4.726780000000001,1.04722453,2021-12-02 08:26:57,5.0,,1.047224,2.060551,3.25263026,4.39985735,5.66286376
6,ENJ,SGD Buy Instant Order,4.10122,1.20695792,2021-12-04 09:08:15,5.0,,1.206957,2.254182,3.26750923,4.45958818,5.606815
11,ENJ,ENJ Swap Instant Order,,1.00523941,2021-12-04 16:32:23,,,,,,,
7,ENJ,SGD Buy Instant Order,3.9100599999999996,1.26596522,2021-12-05 22:35:05,5.0,,1.26596521999999,2.472923,3.52014767,4.53347445,5.7255534
10,ENJ,ENJ Swap Instant Order,,2.02530675,2021-12-06 01:03:20,,,,,,,
8,ENJ,SGD Buy Instant Order,3.4819199999999997,1.42162944,2021-12-06 21:29:24,5.0,,1.4216294399999898,2.68759466,3.89455258,4.94177711,5.95510389
9,ENJ,SGD Buy Instant Order,2.0211900000000003,2.44905229,2022-01-25 20:52:20,5.0,,2.449052,3.87068173,5.13664695,6.34360487,7.3908294
