,coin,type,price,qty,timestamp,amount,temp
91,1INCH ,SGD Sell Instant Order,5.55308,0.99679615,2021-12-01 21:23:59,5.47,5.47
99,AAVE ,SGD Sell Instant Order,339.12,0.01530309,2021-11-30 07:02:18,5.13,5.13
44,AAVE ,SGD Sell Instant Order,311.219,0.03373722,2021-12-23 18:52:37,10.39,10.39
120,ATOM ,LUNA Swap Instant Order,0.7572,0.10082582,2021-11-22 21:07:09,,
119,AXS ,MATIC Swap Instant Order,83.5013,0.02380002,2021-11-22 21:12:22,,
41,BAND ,SGD Sell Instant Order,7.65317,0.67865765,2021-12-24 03:20:33,5.14,5.14
52,BAT ,SGD Sell Instant Order,1.55587,3.36416585,2021-12-12 22:08:05,5.18,5.18
118,BCH ,SGD Sell Instant Order,842.734,0.00610113,2021-11-25 08:05:37,5.1,5.1
105,CHZ ,SGD Sell Instant Order,0.62487,8.54804172,2021-11-29 18:19:19,5.28,5.28
73,CHZ ,ZEC Swap Instant Order,0.001822,8.54022532,2021-12-04 16:33:18,,
75,CLV ,EGLD Swap Instant Order,0.003096,3.27871024,2021-12-04 16:31:17,,
29,DAI ,ETH Swap Instant Order,0.00025737,3.63158821,2021-12-29 01:02:13,,
68,DOT ,MANA Swap Instant Order,7.26135,0.31,2021-12-05 01:26:28,,
58,DOT ,AAVE Swap Instant Order,0.1549,0.22,2021-12-08 21:40:37,,
97,DYDX ,SGD Sell Instant Order,17.5071,0.29167231,2021-11-30 22:49:22,5.05,5.05
131,EGLD ,SGD Sell Instant Order,457.15,0.01125375,2021-11-19 21:16:03,5.1,5.1
19,EGLD ,YFI Swap Instant Order,0.0065119,0.01,2022-01-06 07:28:36,,
145,ENJ ,SGD Sell Instant Order,4.19014,1.26300641,2021-11-04 18:40:10,5.23,5.23
130,ENJ ,SGD Sell Instant Order,4.54251,3.38264075,2021-11-19 21:43:42,15.24,15.24
17,ENJ ,LUNA Swap Instant Order,0.032191,1.097,2022-01-07 02:35:26,,
143,FTM ,SGD Sell Instant Order,3.9574,1.30766609,2021-11-05 18:25:28,5.12,5.12
46,FTM ,SGD Sell Instant Order,2.19728,2.40431319,2021-12-22 19:14:19,5.23,5.23
6,FTM ,SGD Sell Instant Order,3.13886,1.75131349,2022-01-25 19:39:24,5.44,5.44
101,GRT ,ICP Swap Instant Order,0.022869,6.62626332,2021-11-29 22:15:02,,
98,ICP ,RUNE Swap Instant Order,3.92916,0.075,2021-11-30 07:43:18,,
93,ICP ,EGLD Swap Instant Order,0.10611,0.07502065,2021-12-01 00:58:12,,
113,KSM ,SGD Sell Instant Order,466.822,0.02194629,2021-11-28 01:24:41,10.16,10.16
38,KSM ,SGD Sell Instant Order,439.323,0.03710803,2021-12-27 10:14:59,16.17,16.17
121,LINK ,GRT Swap Instant Order,30.3729,0.09411306,2021-11-22 21:01:03,,
3,LRC ,SGD Sell Instant Order,1.38749,4.79488545,2022-01-26 17:53:14,6.58,6.58
125,LUNA ,SGD Sell Instant Order,61.4698,0.0837915,2021-11-21 07:31:40,5.09,5.09
109,LUNA ,SGD Sell Instant Order,62.8302,0.16288674,2021-11-28 14:25:48,10.13,10.13
21,LUNA ,SGD Sell Instant Order,124.17,0.04222613,2022-01-03 16:46:02,5.19,5.19
140,MANA ,ENJ Swap Instant Order,0.87922,1.19864589,2021-11-07 21:06:10,,
18,MANA ,SNX Swap Instant Order,0.5291,0.874,2022-01-07 02:31:33,,
116,MATIC ,SGD Sell Instant Order,2.62735,1.96745928,2021-11-26 08:00:10,5.11,5.11
149,MKR ,SGD Sell Instant Order,4676.84,0.00112364,2021-11-04 00:19:38,5.2,5.2
43,MKR ,SGD Sell Instant Order,3412.74,0.00297293,2021-12-24 00:44:55,10.04,10.04
