coin,type,price,qty,timestamp
FTM , SGD Buy Instant Order , 2.61065 5 , 1.89607952 ,2022-02-12 13:20:50
LRC , SGD Buy Instant Order , 1.29331 5 , 3.82738863 ,2022-02-12 11:30:41
KSM , SGD Buy Instant Order , 219.317 5 , 0.02257006 ,2022-02-12 07:04:54
MKR , SGD Buy Instant Order , 2716.07 5 , 0.00182248 ,2022-02-12 07:03:38
SNX , SGD Buy Instant Order , 6.50094 5 , 0.76142834 ,2022-02-12 06:51:43
BTC , SGD Sell Instant Order , 59742.44 0.00018154 , 10.73 ,2022-02-10 07:11:55
FTM , SGD Sell Instant Order , 3.13967 3.52844757 , 10.96 ,2022-02-08 07:09:09
LRC , SGD Sell Instant Order , 1.29052 4.17379866 , 5.33 ,2022-02-06 07:51:29
LUNA , SGD Buy Instant Order , 65.2323 5 , 0.07588265 ,2022-02-03 08:55:23
FTM , SGD Buy Instant Order , 2.60325 5 , 1.90146931 ,2022-02-03 08:54:36
LRC , SGD Buy Instant Order , 1.18597 5 , 4.17379866 ,2022-02-03 08:54:05
OMG , SGD Sell Instant Order , 6.21143 0.8467806 , 5.2 ,2022-02-03 08:53:06
ENJ , SGD Sell Instant Order , 2.26175 2.44905229 , 5.48 ,2022-02-03 08:51:36
MKR , SGD Sell Instant Order , 2884.22 0.00202425 , 5.77 ,2022-02-03 08:50:36
FTM , SGD Buy Instant Order , 3.04245 5 , 1.62697825 ,2022-01-27 07:05:35
LUNA , SGD Buy Instant Order , 86.229 5 , 0.05740528 ,2022-01-26 20:33:55
MKR , SGD Buy Instant Order , 2445.34 5 , 0.00202425 ,2022-01-26 20:31:30
LRC , SGD Sell Instant Order , 1.38749 4.79488545 , 6.58 ,2022-01-26 17:53:14
SNX , SGD Sell Instant Order , 5.61313 0.94276196 , 5.23 ,2022-01-26 01:32:47
ENJ , SGD Buy Instant Order , 2.02119 5 , 2.44905229 ,2022-01-25 20:52:20
FTM , SGD Sell Instant Order , 3.13886 1.75131349 , 5.44 ,2022-01-25 19:39:24
EGLD , SGD Buy Instant Order , 188.961 5 , 0.02619588 ,2022-01-23 18:59:42
AAVE , SGD Buy Instant Order , 203.081 5 , 0.02437451 ,2022-01-23 10:05:57
SNX , SGD Buy Instant Order , 5.25053 5 , 0.94276196 ,2022-01-23 10:05:37
ETH , SGD Buy Instant Order , 3304.82 5 , 0.00149781 ,2022-01-23 10:05:03
BTC , SGD Buy Instant Order , 47742.87 5 , 0.00010368 ,2022-01-23 10:04:47
OMG , SGD Buy Instant Order , 5.84567 5 , 0.8467806 ,2022-01-23 10:04:11
LUNA , SGD Buy Instant Order , 89.5557 5 , 0.05527286 ,2022-01-23 10:03:40
LRC , SGD Buy Instant Order , 1.03235 5 , 4.79488545 ,2022-01-23 10:03:19
YFI , SGD Buy Instant Order , 32077.85 5 , 0.00015431 ,2022-01-23 10:02:15
FTM , SGD Buy Instant Order , 2.82645 5 , 1.75131348 ,2022-01-23 10:01:57
ENJ , LUNA Swap Instant Order , 0.032191 1.097 , 0.03496039 ,2022-01-07 02:35:26
MANA , SNX Swap Instant Order , 0.5291 0.874 , 0.45780906 ,2022-01-07 02:31:33
EGLD , YFI Swap Instant Order , 0.0065119 0.01 , 0.00006446 ,2022-01-06 07:28:36
AAVE , SGD Buy Instant Order , 311.461 5 , 0.01589284 ,2022-01-06 07:06:29
LUNA , SGD Sell Instant Order , 124.17 0.04222613 , 5.19 ,2022-01-03 16:46:02
LRC , SGD Buy Instant Order , 2.83655 5 , 1.74507764 ,2022-01-03 00:26:22
MKR , SGD Buy Instant Order , 3192.54 5 , 0.00155048 ,2022-01-01 21:55:20
YFI , SGD Sell Instant Order , 44820.96 0.00024112 , 10.69 ,2022-01-01 21:25:29
LRC , SGD Buy Instant Order , 2.77461 5 , 1.78403451 ,2021-12-29 21:17:15
BTC , SGD Buy Instant Order , 63575.24 5 , 0.00007786 ,2021-12-29 21:16:39
OMG , SGD Buy Instant Order , 8.30729 5 , 0.59586218 ,2021-12-29 21:13:49
ZEC , SHIB Swap Instant Order , 4309095.47 0.00225886 , 9636.30695943 ,2021-12-29 01:03:16
DAI , ETH Swap Instant Order , 0.00025737 3.63158821 , 0.00092531 ,2021-12-29 01:02:13
AVAX , SGD Buy Instant Order , 152.462 5 , 0.0324671 ,2021-12-29 01:00:02
LUNA , SGD Buy Instant Order , 117.226 5 , 0.04222612 ,2021-12-29 00:50:33
MKR , SGD Buy Instant Order , 3450.85 5 , 0.00143442 ,2021-12-28 18:46:33
YFI , SGD Buy Instant Order , 40655.88 5 , 0.00012175 ,2021-12-28 18:45:17
OMG , SGD Buy Instant Order , 8.92636 5 , 0.55453734 ,2021-12-28 15:12:37
LRC , SGD Buy Instant Order , 2.94536 5 , 1.6806095 ,2021-12-28 12:10:44
YFI , SGD Buy Instant Order , 41471.25 5 , 0.00011935 ,2021-12-28 11:50:39
MKR , SGD Buy Instant Order , 3542.56 5 , 0.00139729 ,2021-12-28 11:46:23
KSM , SGD Sell Instant Order , 439.323 0.03710803 , 16.17 ,2021-12-27 10:14:59
DAI , SGD Buy Instant Order , 1.36304 5 , 3.63158821 ,2021-12-24 16:40:07
VET , SGD Sell Instant Order , 0.12919 39.70482072 , 5.07 ,2021-12-24 11:29:11
BAND , SGD Sell Instant Order , 7.65317 0.67865765 , 5.14 ,2021-12-24 03:20:33
KSM , SGD Buy Instant Order , 379.834 5 , 0.013032 ,2021-12-24 01:00:38
MKR , SGD Sell Instant Order , 3412.74 0.00297293 , 10.04 ,2021-12-24 00:44:55
AAVE , SGD Sell Instant Order , 311.219 0.03373722 , 10.39 ,2021-12-23 18:52:37
OMG , SGD Sell Instant Order , 8.66253 1.2044458 , 10.32 ,2021-12-22 19:14:45
FTM , SGD Sell Instant Order , 2.19728 2.40431319 , 5.23 ,2021-12-22 19:14:19
OMG , SGD Buy Instant Order , 7.68397 5 , 0.64419824 ,2021-12-20 22:21:26
MKR , SGD Buy Instant Order , 3127.22 5 , 0.00158287 ,2021-12-17 18:39:06
YFI , SGD Sell Instant Order , 36489.33 0.00028307 , 10.22 ,2021-12-17 18:30:10
BAND , SGD Buy Instant Order , 7.29381 5 , 0.67865765 ,2021-12-12 22:48:28
ETH , SGD Buy Instant Order , 5520.63 5 , 0.00089663 ,2021-12-12 22:45:02
BAT , SGD Sell Instant Order , 1.55587 3.36416585 , 5.18 ,2021-12-12 22:08:05
SAND , SGD Sell Instant Order , 7.26724 0.72426129 , 5.21 ,2021-12-12 22:07:42
SAND , SGD Buy Instant Order , 6.83455 5 , 0.72426129 ,2021-12-11 17:37:16
BAT , SGD Buy Instant Order , 1.47139 5 , 3.36416585 ,2021-12-11 10:16:09
FTM , SGD Buy Instant Order , 2.0588 5 , 2.40431319 ,2021-12-09 23:24:58
VET , SGD Buy Instant Order , 0.12467 5 , 39.70482072 ,2021-12-09 17:46:48
DOT , AAVE Swap Instant Order , 0.1549 0.22 , 0.03373722 ,2021-12-08 21:40:37
DOT , SGD Buy Instant Order , 36.3307 5 , 0.1362484 ,2021-12-06 21:29:54
ENJ , SGD Buy Instant Order , 3.48192 5 , 1.42162944 ,2021-12-06 21:29:24
