coin,type,price,qty,timestamp,amount,temp,found
AAVE,SGD Buy Instant Order,203.081,0.02437451,2022-01-23 10:05:57,5.0,,
AAVE,SGD Buy Instant Order,311.461,0.01589284,2022-01-06 07:06:29,5.0,,
AAVE,SGD Sell Instant Order,311.219,0.03373722,2021-12-23 18:52:37,10.39,10.39,
AAVE,AAVE Swap Instant Order (buy),0.1549,0.03373722,2021-12-08 21:40:37,,0.03373722,
AVAX,SGD Buy Instant Order,152.46200000000002,0.0324671,2021-12-29 01:00:02,5.0,,
BAND,SGD Sell Instant Order,7.653169999999999,0.67865765,2021-12-24 03:20:33,5.14,5.14,
BAND,SGD Buy Instant Order,7.293810000000001,0.67865765,2021-12-12 22:48:28,5.0,,
BAT,SGD Sell Instant Order,1.55587,3.36416585,2021-12-12 22:08:05,5.18,5.18,
BAT,SGD Buy Instant Order,1.47139,3.36416585,2021-12-11 10:16:09,5.0,,
BTC,SGD Sell Instant Order,59742.44,0.00018154,2022-02-10 07:11:55,10.73,10.73,
BTC,SGD Buy Instant Order,47742.87,0.00010368,2022-01-23 10:04:47,5.0,,
BTC,SGD Buy Instant Order,63575.24,7.786e-05,2021-12-29 21:16:39,5.0,,
DAI,ETH Swap Instant Order (sell),0.00025737,3.63158821,2021-12-29 01:02:13,,0.00092531,
DAI,SGD Buy Instant Order,1.36304,3.63158821,2021-12-24 16:40:07,5.0,,
DOT,AAVE Swap Instant Order (sell),0.1549,0.22,2021-12-08 21:40:37,,0.03373722,
DOT,SGD Buy Instant Order,36.3307,0.1362484,2021-12-06 21:29:54,5.0,,
EGLD,SGD Buy Instant Order,188.96099999999998,0.02619588,2022-01-23 18:59:42,5.0,,
EGLD,YFI Swap Instant Order (sell),0.0065119,0.01,2022-01-06 07:28:36,,6.446e-05,
ENJ,SGD Sell Instant Order,2.26175,2.44905229,2022-02-03 08:51:36,5.48,5.48,
ENJ,SGD Buy Instant Order,2.0211900000000003,2.44905229,2022-01-25 20:52:20,5.0,,
ENJ,LUNA Swap Instant Order (sell),0.032191000000000004,1.097,2022-01-07 02:35:26,,0.03496039,
ENJ,SGD Buy Instant Order,3.4819199999999997,1.42162944,2021-12-06 21:29:24,5.0,,
ETH,SGD Buy Instant Order,3304.82,0.00149781,2022-01-23 10:05:03,5.0,,
ETH,ETH Swap Instant Order (buy),0.00025737,0.00092531,2021-12-29 01:02:13,,0.00092531,
ETH,SGD Buy Instant Order,5520.63,0.00089663,2021-12-12 22:45:02,5.0,,
FTM,SGD Buy Instant Order,2.61065,1.89607952,2022-02-12 13:20:50,5.0,,
FTM,SGD Sell Instant Order,3.13967,3.52844757,2022-02-08 07:09:09,10.96,10.96,
FTM,SGD Buy Instant Order,2.60325,1.90146931,2022-02-03 08:54:36,5.0,,
FTM,SGD Buy Instant Order,3.04245,1.62697825,2022-01-27 07:05:35,5.0,,
FTM,SGD Sell Instant Order,3.1388599999999998,1.75131349,2022-01-25 19:39:24,5.44,5.44,
FTM,SGD Buy Instant Order,2.82645,1.75131348,2022-01-23 10:01:57,5.0,,
FTM,SGD Sell Instant Order,2.19728,2.40431319,2021-12-22 19:14:19,5.23,5.23,
FTM,SGD Buy Instant Order,2.0588,2.40431319,2021-12-09 23:24:58,5.0,,
